movie_id,title,year,genres
1,Toy Story,1995,Animation|Children's|Comedy
260,Star Wars: Episode IV - A New Hope,1977,Action|Adventure|Fantasy|Sci-Fi
296,Pulp Fiction,1994,Crime|Drama
318,"Shawshank Redemption, The",1994,Drama
356,Forrest Gump,1994,Comedy|Romance|War
589,Terminator 2: Judgment Day,1991,Action|Sci-Fi|Thriller
593,"Silence of the Lambs, The",1991,Drama|Thriller
1193,One Flew Over the Cuckoo's Nest,1975,Drama
2571,"Matrix, The",1999,Action|Sci-Fi|Thriller
2858,American Beauty,1999,Comedy|Drama
