0,1,2,3,4,5
The Old Main Drag,PT3M20S,The Pogues,Rum Sodomy & The Lash,http://ringsushi.com/tone/the-old-main-drag-306779/,Folk Rock
Chicken Crowing for Midnight,PT1M07S,Leadbelly,Where Did You Sleep Last Night? - Lead Belly Legacy Volume 1,http://ringsushi.com/tone/chicken-crowing-for-midnight-276747/,Folk
Rooster Crows At Midnight (Christmas Day),PT1M24S,Leadbelly,Complete Recorded Works 1947-1949 Volume 7,http://ringsushi.com/tone/rooster-crows-at-midnight-christmas-day-276866/,Blues
After You're Gone,PT3M14S,Leadbelly,At New York Town Hall 1947,http://ringsushi.com/tone/after-youre-gone-276821/,Blues/jazz
Diddley Daddy,PT2M29S,Bo Diddley,His Best,http://ringsushi.com/tone/diddley-daddy-276981/,Soul And R&B
What Do You Go Home To?,PT5M00S,Explosions In The Sky,All of a Sudden I Miss Everyone,http://ringsushi.com/tone/what-do-you-go-home-to-214524/,Post-Rock
Mama Don't Allow No Twistin',PT2M11S,Bo Diddley,The Chess Years - Disc 5 of 12,http://ringsushi.com/tone/mama-dont-allow-no-twistin-276977/,rock
How Do You Know-Don't Mind The Weather,PT2M18S,Leadbelly,Complete Recorded Works 1939-1947 Volume 2 - C. October 1943 To 25 April 1944,http://ringsushi.com/tone/how-do-you-know-dont-mind-the-weather-276783/,Blues
Once More To The Afterlife,PT6M13S,Explosions In The Sky,,http://ringsushi.com/tone/once-more-to-the-afterlife-214503/,Other
Diddling,PT2M13S,Bo Diddley,The Chess Years - Disc 5 of 12,http://ringsushi.com/tone/diddling-277032/,rock
A Poor Man's Memory,PT2M29S,Explosions In The Sky,Those Who Tell The Truth Shall,http://ringsushi.com/tone/a-poor-mans-memory-214474/,Rock
C. C. Rider,PT3M01S,Leadbelly,The Remaining ARC And Library Of Congress Recordings Volume 1 1934-1935,http://ringsushi.com/tone/c-c-rider-276746/,Blues
Drunken Boat,PT6M37S,The Pogues,Waiting For Herb (2004 Remastered & Expanded),http://ringsushi.com/tone/drunken-boat-306818/,Folk Rock
Whiskey You're The Devil (Traditional) (Bonus track),PT2M09S,The Pogues,Red Roses For Me (2004 Remastered & Expanded),http://ringsushi.com/tone/whiskey-youre-the-devil-traditional-bonus-track-306953/,Folk Rock
Sonho Dourado (Daniel Lanois),PT3M26S,Explosions In The Sky,Friday Night Lights,http://ringsushi.com/tone/sonho-dourado-daniel-lanois-214512/,"Soundtrack, Post-rock"
Ham And Eggs,PT2M50S,Leadbelly,Shout On - Lead Belly Legacy Vol. 3,http://ringsushi.com/tone/ham-and-eggs-276804/,Blues
Words,PT4M53S,Cheap Trick,Special One,http://ringsushi.com/tone/words-214464/,Pop
Queen Mary,PT4M53S,Leadbelly,Important Recordings: 1934-1949 - Disc A,http://ringsushi.com/tone/queen-mary-276767/,Blues
I'm Leavin' On The Morning Train,PT4M19S,Leadbelly,Complete Recorded Works 1939-1947 - Volume 6,http://ringsushi.com/tone/im-leavin-on-the-morning-train-276935/,Blues
Your Hand In Mine (With Strings),PT4M09S,Explosions In The Sky,Friday Night Lights,http://ringsushi.com/tone/your-hand-in-mine-with-strings-214528/,Post Rock
Golden Porsche,PT2M49S,Mogwai,Happy Songs For Happy People,http://ringsushi.com/tone/golden-porsche-214718/,Alternative
Sugared The Beer,PT1M40S,Leadbelly,Lead Belly's Last Sessions,http://ringsushi.com/tone/sugared-the-beer-276737/,Blues
Extra Read All About Ben,PT2M14S,Bo Diddley,The Chess Years - Disc 5 of 12,http://ringsushi.com/tone/extra-read-all-about-ben-277056/,rock
Dark Solstice,PT4M45S,God Is An Astronaut,A Moment of Stillness,http://ringsushi.com/tone/dark-solstice-214542/,Rock
When The Ship Comes In (Bob Dylan cover),PT3M14S,The Pogues,Pogue Mahone (2004 Remastered & Expanded),http://ringsushi.com/tone/when-the-ship-comes-in-bob-dylan-cover-306791/,Folk Rock
Do WHat I Say,PT2M49S,Bo Diddley,The Chess Years - Disc 3 of 12,http://ringsushi.com/tone/do-what-i-say-277067/,rock
Radau,PT5M52S,God Is An Astronaut,Far From Refuge,http://ringsushi.com/tone/radau-214574/,Post-Rock
A Song for Our Fathers,PT5M44S,Explosions In The Sky,,http://ringsushi.com/tone/a-song-for-our-fathers-214476/,Other
Allowed To Play,PT1M55S,Buckethead,A Real Diamond In The Rough,http://ringsushi.com/tone/allowed-to-play-214950/,Other
Arvor-you,PT4M45S,Alan Stivell,Back to Breizh,http://ringsushi.com/tone/arvor-you-307057/,"Celtic, Folk, Bretagne, World"
Sukey Jump (Win'jammer),PT1M07S,Leadbelly,Complete Recorded Works 1939-1947 - Volume 6,http://ringsushi.com/tone/sukey-jump-winjammer-276791/,Blues
Fragile,PT4M34S,God Is An Astronaut,"All is Violent, All is Bright",http://ringsushi.com/tone/fragile-214555/,Post Rock
Bo's A Lumberjack,PT2M41S,Bo Diddley,The Chess Years - Disc 5 of 12,http://ringsushi.com/tone/bos-a-lumberjack-277040/,rock
Baptism of Solitude,PT6M07S,Buckethead,Electric Tears,http://ringsushi.com/tone/baptism-of-solitude-214963/,Rock
Rano Pano (Tim Hecker Remix),PT4M44S,Mogwai,A Wrenched Virile Lore,http://ringsushi.com/tone/rano-pano-tim-hecker-remix-214756/,Post-Rock / Space Rock
Little Girl (Alt),PT2M37S,Bo Diddley,The Chess Years - Disc 12 of 12,http://ringsushi.com/tone/little-girl-alt-276953/,rock
Hey Jerome,PT3M05S,Bo Diddley,The Chess Years - Disc 10 of 12,http://ringsushi.com/tone/hey-jerome-277070/,rock
I'm A Man You Don't Meet Every Day (Traditional) (The Pogues' Version),PT2M55S,The Pogues,Rum Sodomy & The Lash,http://ringsushi.com/tone/im-a-man-you-dont-meet-every-day-traditional-the-pogues-version-306798/,Folk Rock
Honky Tonk Women (The Rolling Stones cover) (Bonus track),PT2M55S,The Pogues,Peace And Love (2005 Remastered & Expanded),http://ringsushi.com/tone/honky-tonk-women-the-rolling-stones-cover-bonus-track-306964/,Folk Rock
The Fromveur,PT1M21S,Yann Tiersen,The Lighthouse / Everything's Calm,http://ringsushi.com/tone/the-fromveur-214938/,Alternative
Let The Kids Dance,PT2M22S,Bo Diddley,The Chess Years - Disc 7 of 12,http://ringsushi.com/tone/let-the-kids-dance-276976/,rock
The Limerick Rake (Traditional),PT3M13S,The Pogues,Peace And Love (2005 Remastered & Expanded),http://ringsushi.com/tone/the-limerick-rake-traditional-306935/,Folk Rock
No More Lovin',PT2M24S,Bo Diddley,The Chess Years - Disc 3 of 12,http://ringsushi.com/tone/no-more-lovin-277061/,rock
