SongName,Singer,Album
Diddley Daddy,Bo Diddley,His Best
Say Man,Bo Diddley,His Best
Do WHat I Say,Bo Diddley,The Chess Years - Disc 3 of 12
Diddley Daddy,Bo Diddley,His Best
Hesitation Blues,Leadbelly,Lead Belly's Last Sessions
Sugared The Beer,Leadbelly,Lead Belly's Last Sessions
Chicken Crowing for Midnight,Leadbelly,Where Did You Sleep Last Night? - Lead Belly Legacy Volume 1
Hesitation Blues,Leadbelly,Lead Belly's Last Sessions
Sine Wave,Mogwai,Rock Action
Close Encounters,Mogwai,Rock Action
