SongName,Singer,Album,Style
Before You Accuse Me,Bo Diddley,His Best,Soul And R&B
Crawdad,Bo Diddley,The Chess Years - Disc 3 of 12,rock
Before You Accuse Me,Bo Diddley,His Best,Soul And R&B
Chicken Crowing for Midnight,Leadbelly,Where Did You Sleep Last Night? - Lead Belly Legacy Volume 1,Folk
Hesitation Blues,Leadbelly,Lead Belly's Last Sessions,Blues
Chicken Crowing for Midnight,Leadbelly,Where Did You Sleep Last Night? - Lead Belly Legacy Volume 1,Folk
Your Hand In Mine (With Strings),Explosions In The Sky,Friday Night Lights,Post Rock
"Seagull (Bad Company)",Explosions In The Sky,Friday Night Lights,"Soundtrack, Post-rock"
You're All I Wanna Do,Cheap Trick,Woke Up With a Monster,Rock
Your Hand In Mine (With Strings),Explosions In The Sky,Friday Night Lights,Post Rock
