SongName,Duration,Singer,Album,URL,Style
Before You Accuse Me,PT3M08S,Bo Diddley,His Best,http://ringsushi.com/tone/before-you-accuse-me-277052/,Soul And R&B
Diddley Daddy,PT2M29S,Bo Diddley,His Best,http://ringsushi.com/tone/diddley-daddy-276981/,Soul And R&B
Crawdad,PT2M30S,Bo Diddley,The Chess Years - Disc 3 of 12,http://ringsushi.com/tone/crawdad-277031/,rock
Before You Accuse Me,PT3M08S,Bo Diddley,His Best,http://ringsushi.com/tone/before-you-accuse-me-277052/,Soul And R&B
Chicken Crowing for Midnight,PT1M07S,Leadbelly,Where Did You Sleep Last Night? - Lead Belly Legacy Volume 1,http://ringsushi.com/tone/chicken-crowing-for-midnight-276747/,Folk
Hesitation Blues,PT2M18S,Leadbelly,Lead Belly's Last Sessions,http://ringsushi.com/tone/hesitation-blues-276829/,Blues
Chicken Crowing for Midnight,PT1M07S,Leadbelly,Where Did You Sleep Last Night? - Lead Belly Legacy Volume 1,http://ringsushi.com/tone/chicken-crowing-for-midnight-276747/,Folk
Sine Wave,PT4M55S,Mogwai,Rock Action,http://ringsushi.com/tone/sine-wave-214767/,Post Rock
Close Encounters,PT3M56S,Mogwai,Rock Action,http://ringsushi.com/tone/close-encounters-214696/,Post Rock
Sine Wave,PT4M55S,Mogwai,Rock Action,http://ringsushi.com/tone/sine-wave-214767/,Post Rock
