URL,Album,Singer
http://ringsushi.com/tone/diddley-daddy-276981/,His Best,Bo Diddley
http://ringsushi.com/tone/before-you-accuse-me-277052/,His Best,Bo Diddley
http://ringsushi.com/tone/crawdad-277031/,The Chess Years - Disc 3 of 12,Bo Diddley
http://ringsushi.com/tone/diddley-daddy-276981/,His Best,Bo Diddley
http://ringsushi.com/tone/chicken-crowing-for-midnight-276747/,Where Did You Sleep Last Night? - Lead Belly Legacy Volume 1,Leadbelly
http://ringsushi.com/tone/hesitation-blues-276829/,Lead Belly's Last Sessions,Leadbelly
http://ringsushi.com/tone/chicken-crowing-for-midnight-276747/,Where Did You Sleep Last Night? - Lead Belly Legacy Volume 1,Leadbelly
http://ringsushi.com/tone/sine-wave-214767/,Rock Action,Mogwai
http://ringsushi.com/tone/close-encounters-214696/,Rock Action,Mogwai
http://ringsushi.com/tone/sine-wave-214767/,Rock Action,Mogwai
