part_id,brand,part_type,container,retail_price
801,Brand#801,SMALL STEEL PART,SM BOX,1027.12
591,Brand#591,MED COPPER PART,MED BAG,1246.34
317,Brand#317,STANDARD PLATED TIN,WRAP CASE,1366.46
478,Brand#478,ANODIZED BRASS,MED JAR,976.07
743,Brand#743,JUMBO METAL PART,JUMBO CAN,1831.93
687,Brand#687,WRAP FIBER PART,WRAP CASE,1466.56
807,Brand#807,MED RUBBER PART,MED BOX,1898.99
205,Brand#205,LG CARBON PART,LG BAG,1683.78
007,Brand#007,SMALL TITANIUM PART,SM CAN,1093.19
346,Brand#346,LARGE PLATED TIN,WRAP BAG,911.01
