order_id,priority,clerk,ship_priority,receipt_date,commit_date,line_status
401,1-URGENT,Clerk#000000017,0,1996/03/18,1996/03/15,F
401,1-URGENT,Clerk#000000017,0,1996/03/20,1996/03/16,F
402,2-HIGH,Clerk#000000080,0,1996/04/11,1996/04/08,O
403,3-MEDIUM,Clerk#000000587,0,1996/04/30,1996/04/28,F
404,5-LOW,Clerk#000000059,0,1996/05/19,1996/05/15,O 
405,4-NOT SPECIFIED,Clerk#000000343,0,1996/06/03,1996/05/30,F
406,2-HIGH,Clerk#00000006,0,1996/06/21,1996/06/19,O
407,1-URGENT,Clerk#00000007,0,1996/07/09,1996/07/06,F
408,3-MEDIUM,Clerk#00000008,0,1996/07/28,1996/07/25,O
409,5-LOW,Clerk#00000009,0,1996/08/14,1996/08/11,F
